planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
HD 33844 b,1,2,Radial Velocity,2015,551.40002,638.8383,4861,1.84,1.149,105.779
HD 33844 c,1,2,Radial Velocity,2015,916,556.2025,4861,1.78,1.149,105.779
HD 34445 b,1,6,Radial Velocity,2009,1049,260.6206,5879,1.14,0.303,46.0907
HD 34445 c,1,6,Radial Velocity,2017,214.67,53.5,5836,1.07,0.303,46.0907
HD 34445 d,1,6,Radial Velocity,2017,117.87,30.7,5836,1.07,0.303,46.0907
HD 34445 e,1,6,Radial Velocity,2017,49.175,16.8,5836,1.07,0.303,46.0907
HD 34445 f,1,6,Radial Velocity,2017,676.8,37.9,5836,1.07,0.303,46.0907
HD 34445 g,1,6,Radial Velocity,2017,5700,120.6,5836,1.07,0.303,46.0907
HD 35759 b,1,1,Radial Velocity,2016,82.467,1195.0408,6060,1.15,0.537,71.2423
HD 3651 b,1,1,Radial Velocity,2003,62.25,72.46524,5221,0.8,-0.274,11.1336
HD 37124 b,1,3,Radial Velocity,2002,154.378,214.53525,5698.64,0.85,-0.112,31.6634
HD 37124 c,1,3,Radial Velocity,2002,885.5,207.22516,5698.64,0.85,-0.112,31.6634
HD 37124 d,1,3,Radial Velocity,2005,1862,221.20968,5698.64,0.85,-0.112,31.6634
HD 37605 b,1,2,Radial Velocity,2004,55.01292,854.9627,5329,0.94,-0.22,46.7864
HD 37605 c,1,2,Radial Velocity,2012,2720,1013.8777,5329,0.94,-0.22,46.7864
HD 3765 b,1,1,Radial Velocity,2021,1211,54.98431,5049.8,0.85,-0.416,17.926
HD 38283 b,1,1,Radial Velocity,2010,363.20001,127.132,5981,1.37,0.411,38.0615
HD 38529 b,2,2,Radial Velocity,2000,14.30944,253.31051,5541,1.41,0.834,42.3538
HD 38529 c,2,2,Radial Velocity,2000,2136.1,4128.6117,5541,1.41,0.834,42.3538
HD 38801 b,1,1,Radial Velocity,2009,685.25,3082.31534,5338,1.21,0.659,91.4349
HD 39091 b,1,2,Radial Velocity,2001,2093.07,4099.98645,6037,1.09,0.16,18.2702
HD 39855 b,1,1,Radial Velocity,2019,3.2498,8.5,5576,0.87,-0.316,23.2599
HD 40307 b,1,5,Radial Velocity,2009,4.3123,4,4956,0.77,-0.639,12.9363
HD 40307 c,1,5,Radial Velocity,2009,9.6184,6.6,4956,0.77,-0.639,12.9363
HD 40307 d,1,5,Radial Velocity,2009,20.432,9.5,4956,0.77,-0.639,12.9363
HD 40307 f,1,5,Radial Velocity,2013,51.76,5.2,4956,0.77,-0.639,12.9363
HD 40307 g,1,5,Radial Velocity,2013,197.8,7.1,4956,0.77,-0.639,12.9363
HD 40956 b,1,1,Radial Velocity,2017,578.6,858.141,4869,2,1.664,116.593
HD 40979 b,3,1,Radial Velocity,2002,264.14999,1484.2661,6165,1.45,0.291,34.0883
HD 41004 A b,2,2,Radial Velocity,2004,963,807.25,5310,0.95,-0.293,36.69117
HD 41004 B b,2,2,Radial Velocity,2003,1.3283,5838.29,5036,0.4,-0.202,41.5504
