planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
Kepler-87 b,1,2,Transit,2013,114.73635,324.2,5600,1.1,0.326,1232.9
Kepler-87 c,1,2,Transit,2013,191.2318,6.4,5600,1.1,0.326,1232.9
Kepler-870 b,1,1,Transit,2016,21.3587621,8.15,5857,1.01,0.043,1259.46
Kepler-871 b,1,1,Transit,2016,22.0459018,13.5,5993,1.11,0.309,1976.05
Kepler-872 b,1,1,Transit,2016,2.57885507,4.62,5902,1.05,-0.146,879.683
Kepler-873 b,1,1,Transit,2016,20.5533844,13.5,6163,1.18,0.134,1182.22
Kepler-874 b,1,1,Transit,2016,40.0686727,14.7,6020,1.09,0.138,1082.16
Kepler-875 b,1,1,Transit,2016,27.5073799,8.75,5958,1.06,0.135,1242.62
Kepler-876 b,1,1,Transit,2016,5.14438011,2.63,5060,0.81,-0.338,820.913
Kepler-877 b,1,1,Transit,2016,18.45847097,5.14,5261,0.85,-0.343,602.176
Kepler-878 b,1,1,Transit,2016,25.9422033,4.38,5044,0.81,-0.174,791.625
Kepler-879 b,1,1,Transit,2016,33.3855938,7.13,5792,1.02,0.033,802.672
Kepler-88 d,1,3,Radial Velocity,2020,1403,965.147,5466,0.99,-0.192,376.863
Kepler-880 b,1,1,Transit,2016,7.71468975,7.56,6761,1.46,0.666,601.324
Kepler-881 b,1,1,Transit,2016,4.44448017,3.82,5961,1.06,0.12,1375.18
Kepler-882 b,1,1,Transit,2016,3.98953967,2.04,5476,0.9,-0.273,504.605
Kepler-883 b,1,1,Transit,2016,12.98495573,3.82,6116,1.06,0.296,627.455
Kepler-884 b,1,1,Transit,2016,5.69919514,2.04,5715,1,-0.313,476.733
Kepler-885 b,1,1,Transit,2016,18.11472949,6.8,6187,1.21,0.417,651.318
Kepler-886 b,1,1,Transit,2016,6.24146367,2.92,6098,1.1,0.042,711.297
Kepler-887 b,1,2,Transit,2016,20.42228798,4.04,6194,1.19,0.446,886.588
Kepler-887 c,1,2,Transit,2016,7.63846023,1.51,6194,1.19,0.446,886.588
Kepler-888 b,1,1,Transit,2016,70.6979061,3.75,5875,0.97,-0.043,420.817
Kepler-889 b,1,1,Transit,2016,3.744439,1.32,5961,1.14,0.383,598.313
Kepler-890 b,1,1,Transit,2016,52.75875577,58.6,5954,1.09,0.327,1712.12
Kepler-891 b,1,1,Transit,2016,53.44945593,33.6,5887,1.06,0.588,2340.58
Kepler-892 b,1,1,Transit,2016,13.7521072,8.3,4747,0.75,-0.735,570.727
Kepler-893 b,1,1,Transit,2016,6.33855761,9.43,5820,1,0.06,1285.59
Kepler-894 b,1,1,Transit,2016,9.803224,8.15,5603,0.87,-0.123,1162.91
Kepler-895 b,1,1,Transit,2016,2.80624233,2.99,4315,0.65,-0.854,540.134
Kepler-896 b,1,1,Transit,2016,144.547396,6.94,5262,0.84,0.481,2334.93
Kepler-897 b,1,1,Transit,2016,8.0472642,6.3,5839,1.03,0.288,1519.25
Kepler-898 b,1,1,Transit,2016,5.8706191,2.83,4223,0.65,-0.875,484.891
Kepler-899 b,1,1,Transit,2016,19.17891293,7.65,5595,0.93,0.048,1246.43
Kepler-9 b,1,3,Transit,2010,19.23891,43.4,5774,1.02,-0.038,628.257
Kepler-9 c,1,3,Transit,2010,38.9853,29.9,5774,1.02,-0.038,628.257
Kepler-9 d,1,3,Transit,2010,1.592851,3.33,5777,1.07,0.037,628.257
Kepler-90 i,1,8,Transit,2017,14.44912,2.3,6015,1.12,0.25,848.254
Kepler-900 b,1,1,Transit,2016,6.9913086,4.98,4836,0.78,-0.608,487.525
Kepler-901 b,1,1,Transit,2016,3.51749439,2.45,4184,0.59,-0.984,253.867
Kepler-902 b,1,1,Transit,2016,40.1099547,6.99,5647,0.95,0.108,1165.34
Kepler-903 b,1,2,Transit,2016,10.3507721,4.7,5682,0.98,0.365,1369.24
Kepler-903 c,1,2,Transit,2016,62.9228557,6.94,5682,0.98,0.365,1369.24
Kepler-904 b,1,1,Transit,2016,3.02166863,3.78,6160,1.16,0.154,978.125
Kepler-905 b,1,1,Transit,2016,5.08274652,2.57,5461,0.95,-0.215,529.268
Kepler-906 b,1,1,Transit,2016,41.6979976,5.1,6035,1.06,0.096,757.791
Kepler-907 b,1,1,Transit,2016,15.86621821,1.87,6106,1.08,0.378,352
Kepler-908 b,3,1,Transit,2016,1.34059747,1.98,5973,1.11,0.264,290.843
Kepler-909 b,1,1,Transit,2016,13.93290318,2.76,6154,1.17,0.273,309.596
Kepler-91 b,1,1,Transit,2013,6.24658,257.4423,4550,1.31,1.225,1294.69
Kepler-910 b,1,1,Transit,2016,2.36436901,0.477,6230,1.26,0.494,400.289
Kepler-911 b,1,1,Transit,2016,20.310501,7.27,6112,1.34,0.707,556.168
Kepler-912 b,1,1,Transit,2016,2.53475627,8.25,5998,1.07,0.552,2004.72
Kepler-913 b,1,1,Transit,2016,10.29672521,4.9,4687,0.63,-0.282,991.618
Kepler-914 b,1,1,Transit,2016,4.40966548,2.48,5877,1.1,0.245,753.723
Kepler-915 b,1,1,Transit,2016,4.59489604,2.86,6173,1.21,0.506,849.036
Kepler-916 b,1,1,Transit,2016,32.2968798,3.75,5248,0.85,-0.278,830.712
Kepler-917 b,1,1,Transit,2016,2.97041437,4.31,5418,0.8,0.764,3460.51
Kepler-918 b,1,1,Transit,2016,4.85386933,3.68,6028,1.11,-0.018,1025.03
Kepler-919 b,1,1,Transit,2016,11.04603384,5.69,6113,1.15,0.167,1119.87
Kepler-92 b,1,3,Transit,2013,13.749,64.3,5883,1.21,0.558,477.992
Kepler-92 c,1,3,Transit,2013,26.723,6.1,5883,1.21,0.558,477.992
Kepler-92 d,1,3,Transit,2015,49.3568,4.93,5904.34,1.07,0.558,477.992
Kepler-920 b,1,2,Transit,2016,6.53192704,6.44,5403,0.89,-0.183,1001.68
Kepler-920 c,1,2,Transit,2016,100.8274113,13.8,5403,0.89,-0.183,1001.68
Kepler-921 b,1,1,Transit,2016,51.300634,8.6,5663,0.93,-0.03,934.49
Kepler-922 b,1,1,Transit,2016,0.93846683,2.6,5671,0.95,-0.133,536.323
Kepler-923 b,1,1,Transit,2016,6.93366476,2.48,5988,1.11,0.333,1000.28
Kepler-924 b,1,1,Transit,2016,61.0370117,9.64,6167,1.14,0.314,1053.04
Kepler-925 b,1,1,Transit,2016,33.8678531,6.08,4673,0.77,-0.684,611.115
Kepler-926 b,1,1,Transit,2016,52.0688601,5.95,5806,1.01,0.173,921.361
Kepler-927 b,1,1,Transit,2016,9.1149903,3.61,5743,0.99,-0.086,831.685
Kepler-928 b,1,1,Transit,2016,3.9324613,3.15,4700,0.73,-0.719,508.809
Kepler-929 b,1,1,Transit,2016,0.92103214,1.41,5869,1.01,0.461,1311.23
Kepler-93 b,1,2,Transit,2014,4.72674,4.54426,5669,1.09,-0.106,95.9115
Kepler-93 c,1,2,Radial Velocity,2014,1460,954,5669,0.91,-0.106,95.9115
Kepler-930 b,1,1,Transit,2016,71.4517775,5.18,6335,1.25,0.378,848.396
Kepler-931 b,1,1,Transit,2016,8.03755877,2.33,5241,0.86,-0.35,490
Kepler-932 b,1,1,Transit,2016,1.9214374,2.45,5331,0.87,-0.322,465.612
Kepler-933 b,1,1,Transit,2016,14.20443009,6.62,5346,0.87,-0.211,1017.2
Kepler-934 b,1,1,Transit,2016,55.6738309,5.02,5001,0.81,-0.478,608.738
Kepler-935 b,1,1,Transit,2016,4.88083852,2.39,4830,0.78,-0.639,471.782
Kepler-936 b,1,1,Transit,2016,10.56134221,2.7,5482,0.92,-0.19,823.399
Kepler-937 b,1,2,Transit,2016,67.668827,13.4,6095,1.15,0.281,1571.46
Kepler-937 c,1,2,Transit,2016,153.343364,7.61,6095,1.15,0.281,1571.46
Kepler-938 b,1,1,Transit,2016,52.6298417,5.56,5533,0.92,-0.174,1182.05
Kepler-939 b,1,1,Transit,2016,14.878296,3.71,5471,0.88,0.391,2093.62
Kepler-94 b,1,2,Transit,2014,2.50806,10.84,4781,0.81,-0.613,191.904
Kepler-94 c,1,2,Radial Velocity,2014,820.3,3126,4781,0.81,-0.597,191.904
Kepler-940 b,1,1,Transit,2016,59.6225257,11.1,5769,0.97,-0.057,1260.78
Kepler-941 b,1,1,Transit,2016,17.42395198,9.69,5539,0.89,-0.206,1088.36
Kepler-942 b,1,1,Transit,2016,44.96417488,5.18,4861,0.81,-0.585,216.354
Kepler-943 b,1,1,Transit,2016,49.7701438,29.5,5612,0.93,0.407,2300.53
Kepler-944 b,1,1,Transit,2016,43.3167737,7.41,5409,0.86,-0.078,1349.43
Kepler-945 b,1,1,Transit,2016,31.0033814,7.41,5718,0.97,0.024,1651.25
Kepler-946 b,1,1,Transit,2016,11.79162572,4.38,5665,0.94,0.134,1137.29
Kepler-947 b,1,1,Transit,2016,26.9644317,5.82,5508,0.9,0.142,1730.78
Kepler-948 b,1,1,Transit,2016,7.76846622,4.08,5679,0.96,-0.109,868.017
Kepler-949 b,1,1,Transit,2016,8.6893073,8.8,5403,0.89,-0.442,486.105
Kepler-95 b,1,1,Transit,2014,11.5231,13,5699,1.08,0.281,445.656
Kepler-950 b,1,1,Transit,2016,98.7180406,59.6,5857,1.02,0.355,2161.6
Kepler-951 b,2,1,Transit,2016,71.52530845,26.7,4834,0.77,-0.642,382.509
Kepler-952 b,1,1,Transit,2016,130.3546919,45.4,5730,1,0.097,1304.25
Kepler-953 b,1,2,Transit,2016,88.40655258,16.5,5416,0.95,-0.119,258.893
Kepler-953 c,1,2,Transit,2016,9.10967112,1.81,5416,0.95,-0.119,258.893
Kepler-954 b,1,1,Transit,2016,16.78176602,5.99,4990,0.82,-0.572,215.814
Kepler-955 b,1,1,Transit,2016,14.53244172,9.96,5350,0.89,-0.409,550.383
Kepler-956 b,1,1,Transit,2016,5.24867263,9.27,6040,1.1,0.052,544.939
Kepler-957 b,1,1,Transit,2016,5.90741354,25.9,4963,0.81,-0.468,824.688
Kepler-958 b,1,1,Transit,2016,9.7678805,4.9,5421,0.91,-0.282,449.773
Kepler-959 b,1,1,Transit,2016,14.80074836,17.6,7005,1.6,0.738,807.729
Kepler-96 b,1,1,Transit,2014,16.2385,8.46,5690,1,-0.052,122.881
Kepler-960 b,1,1,Transit,2016,3.12686223,5.86,4755,0.77,-0.629,284.916
Kepler-961 b,1,1,Transit,2016,16.87727414,7.04,5582,0.96,-0.194,574.314
Kepler-962 b,1,1,Transit,2016,12.05707239,4.54,5478,0.93,-0.261,411.486
Kepler-963 b,1,1,Transit,2016,9.97683705,7.56,5461,0.91,-0.225,771.494
Kepler-964 b,1,1,Transit,2016,13.5225106,5.14,5427,0.93,-0.306,454.626
Kepler-965 b,1,1,Transit,2016,134.2527298,11.4,5886,1.05,0.148,582.828
Kepler-966 b,1,1,Transit,2016,99.747622,16,5840,1.02,0.233,1027.8
Kepler-967 b,1,2,Transit,2016,13.22713379,6.12,5178,0.84,-0.718,568.546
Kepler-967 c,1,2,Transit,2016,198.7112502,12.9,5178,0.84,-0.718,568.546
Kepler-968 b,1,3,Transit,2016,3.69298373,4.66,4598,0.76,-0.763,290.324
Kepler-968 c,1,3,Transit,2016,5.70940492,3.5,4598,0.76,-0.763,290.324
Kepler-969 b,1,2,Transit,2016,34.1731714,4.94,5214,0.92,-0.389,390.354
Kepler-969 c,1,2,Transit,2016,1.6829346,0.937,5214,0.92,-0.389,390.354
Kepler-97 b,1,2,Transit,2014,2.58664,3.51,5779,0.94,-0.025,400.907
Kepler-97 c,1,2,Radial Velocity,2014,789,344,5779,0.94,-0.037,400.907
Kepler-970 b,2,1,Transit,2016,16.73652231,8.1,4511,0.7,-0.821,331.545
Kepler-971 b,1,1,Transit,2016,9.59070716,5.18,5431,0.88,-0.299,338.522
Kepler-972 b,1,1,Transit,2016,7.03932553,19.5,6146,1.15,0.191,1198.03
Kepler-973 b,1,1,Transit,2016,49.6077331,4.5,5213,0.86,-0.344,328.52
Kepler-974 b,1,1,Transit,2016,4.19449651,3.09,3687,0.52,-1.354,134.311
Kepler-975 b,1,1,Transit,2016,1.97034246,2.79,4897,0.8,-0.512,426.088
Kepler-976 b,1,1,Transit,2016,105.9564148,14.9,5232,0.87,-0.36,1012.41
Kepler-977 b,1,1,Transit,2016,26.85328322,7.37,5315,0.87,-0.476,568.751
Kepler-978 b,1,1,Transit,2016,49.6221509,9.22,6002,1.07,0.143,682.522
Kepler-979 b,1,1,Transit,2016,8.0880135,7.85,5310,0.87,-0.32,576.503
Kepler-98 b,1,1,Transit,2014,1.54168,3.55,5539,0.99,-0.133,350.315
Kepler-980 b,1,1,Transit,2016,11.55102504,7.61,5935,1.05,0.262,961.468
Kepler-981 b,1,1,Transit,2016,4.46975774,5.95,5718,0.98,-0.081,878.082
Kepler-982 b,1,1,Transit,2016,15.7738221,5.69,6139,1.16,0.511,801.479
Kepler-983 b,1,1,Transit,2016,60.0855082,6.17,6052,1.13,0.15,714.437
Kepler-984 b,1,1,Transit,2016,43.0342272,5.14,5610,0.96,-0.108,460.188
Kepler-985 b,1,1,Transit,2016,116.331901,9.17,5434,0.91,-0.283,679.361
Kepler-986 b,1,1,Transit,2016,56.4349938,6.17,5642,0.96,-0.047,548.364
Kepler-987 b,1,1,Transit,2016,105.3033148,10.7,5637,0.97,-0.145,914.126
Kepler-988 b,1,1,Transit,2016,17.76080053,4.94,4005,0.55,-1.047,304.889
Kepler-989 b,1,1,Transit,2016,7.96431535,5.52,5074,0.82,-0.427,491.978
Kepler-99 b,2,1,Transit,2014,4.60358,6.15,4782,0.79,-0.585,208.369
Kepler-990 b,1,2,Transit,2016,9.91723428,7.27,5948,1.05,-0.05,802.163
Kepler-990 c,1,2,Transit,2016,0.53835431,2.96,5948,1.05,-0.05,802.163
Kepler-991 b,1,1,Transit,2016,82.5342519,6.99,4392,0.64,-0.831,389.561
Kepler-992 b,1,1,Transit,2016,20.16034462,3.26,4944,0.8,-0.57,259.639
Kepler-993 b,1,1,Transit,2016,22.08557563,9.11,3843,0.57,-1.229,324.423
Kepler-994 b,1,1,Transit,2016,1.15116651,3.19,3934,0.56,-1.139,188.158
Kepler-995 b,1,1,Transit,2016,28.26731672,7.75,5206,0.83,-0.419,609.638
Kepler-996 b,1,1,Transit,2016,3.77059058,4.58,6014,1.09,0.242,1216.58
Kepler-997 b,1,1,Transit,2016,2.70730672,2.42,6150,1.22,0.496,467.568
Kepler-998 b,1,1,Transit,2016,5.65377733,5.99,6058,1.12,0.193,986.364
Kepler-999 b,1,1,Transit,2016,5.99185702,6.08,6237,1.29,0.538,545.063
L 168-9 b,1,1,Transit,2020,1.4015,4.6,3800,0.62,-1.172,25.1496
L 98-59 b,1,4,Transit,2019,2.2531136,0.4,3415,0.27,-1.948,10.6194
L 98-59 c,1,4,Transit,2019,3.6906777,2.22,3415,0.27,-1.948,10.6194
L 98-59 d,1,4,Transit,2019,7.4507245,1.94,3415,0.27,-1.948,10.6194
L 98-59 e,1,4,Radial Velocity,2021,12.796,3.06,3415,0.27,-1.948,10.6194
LHS 1140 b,1,2,Transit,2017,24.73694,6.38,3216,0.19,-0.321,14.9861
LHS 1140 c,1,2,Transit,2018,3.77792,1.76,3216,0.19,-0.321,14.9861
LHS 1478 b,1,1,Transit,2021,1.9495378,2.33,3381,0.24,-2.146,18.2276
LHS 1815 b,1,1,Transit,2020,3.81433,8.7,3643,0.5,-1.387,29.8424
LHS 3844 b,1,1,Transit,2019,0.46292913,2.25,3036,0.15,-2.565,14.8846
LP 714-47 b,1,1,Transit,2020,4.052037,30.8,3950,0.59,-1.125,52.616
LP 791-18 b,1,2,Transit,2019,0.948005,1.46,2960,0.14,-2.697,26.4927
LP 791-18 c,1,2,Transit,2019,4.989963,5.95,2960,0.14,-2.697,26.4927
LSPM J2116+0234 b,1,1,Radial Velocity,2019,14.4399,13.3,3475,0.43,-1.699,17.6297
LTT 1445 A b,3,1,Transit,2019,5.35882,2.2,3337,0.26,-2.046,6.86929
LTT 3780 b,2,2,Transit,2020,0.768448,2.62,3331,0.4,-1.777,21.9814
LTT 3780 c,2,2,Transit,2020,12.2519,8.6,3331,0.4,-1.777,21.9814
LTT 9779 b,1,1,Transit,2020,0.792052,29.32,5443,0.77,-0.149,80.4373
LkCa 15 b,1,2,Imaging,2015,,,4194,,-0.192,158.152
LkCa 15 c,1,2,Imaging,2015,,,4194,,-0.192,158.152
Lupus-TR-3 b,1,1,Transit,2007,3.91405,257.431,5000,0.87,-1.464,773.409
MASCARA-1 b,1,1,Transit,2017,2.14878,1175.971,7554,1.72,1.176,182.273
MASCARA-4 b,2,1,Transit,2020,2.82406,985.273,7800,1.75,1.087,170.696
MOA-2007-BLG-192L b,1,1,Microlensing,2008,,3.3,,0.06,,1000
MOA-2007-BLG-400L b,1,1,Microlensing,2008,,260,,0.3,,5800
MOA-2008-BLG-310L b,1,1,Microlensing,2009,,23.4,,0.21,,7700
MOA-2008-BLG-379L b,1,1,Microlensing,2013,,1300,,0.56,,3300
MOA-2009-BLG-266L b,1,1,Microlensing,2011,2774,10.4,,0.56,,3040
MOA-2009-BLG-319L b,1,1,Microlensing,2010,,67.3,,0.52,,7050
MOA-2009-BLG-387L b,1,1,Microlensing,2010,1982,830,,0.19,,5690
MOA-2010-BLG-073L b,1,1,Microlensing,2012,,3500,,0.16,,2800
MOA-2010-BLG-117L b,1,1,Microlensing,2018,,170,,0.58,,3500
MOA-2010-BLG-328L b,1,1,Microlensing,2013,,9.2,,0.11,,810
MOA-2010-BLG-353L b,1,1,Microlensing,2015,,86,,0.18,,6430
MOA-2010-BLG-477L b,1,1,Microlensing,2012,,480,5950,0.67,,2300
MOA-2011-BLG-028L b,1,1,Microlensing,2016,,30,,0.75,,7380
MOA-2011-BLG-262L b,1,1,Microlensing,2014,,17,,0.11,,7200
MOA-2011-BLG-291L b,1,1,Microlensing,2018,,18,,0.15,,4400
MOA-2011-BLG-293L b,1,1,Microlensing,2012,547.5,1500,,0.86,,7720
MOA-2011-BLG-322L b,1,1,Microlensing,2013,,3690,,0.39,,7560
MOA-2012-BLG-006L b,1,1,Microlensing,2017,,2700,,0.49,,5300
MOA-2012-BLG-505L b,1,1,Microlensing,2017,,6.7,,0.1,,7210
MOA-2013-BLG-220L b,1,1,Microlensing,2014,,871,,0.88,,6720
MOA-2013-BLG-605L b,1,1,Microlensing,2016,,3.24,,0.02,,850
MOA-2015-BLG-337L b,1,1,Microlensing,2018,,33.7,,0.01,,7100
MOA-2016-BLG-227L b,1,1,Microlensing,2017,,890,,0.29,,6500
MOA-2016-BLG-319L b,1,1,Microlensing,2018,,200,,0.15,,6800
MOA-bin-1L b,1,1,Microlensing,2012,,1200,,0.75,,5100
MOA-bin-29 b,1,1,Microlensing,2019,,190,,0.03,,7120
MXB 1658-298 b,2,1,Eclipse Timing Variations,2017,760,7532.571,,1.98,,
NGC 2682 Sand 364 b,1,1,Radial Velocity,2014,121.71,2126.2827,4284,9.06,2.072,817.192
NGC 2682 Sand 978 b,1,1,Radial Velocity,2017,511.21,692.8694,4200,1.37,2.157,821.918
NGC 2682 YBP 1194 b,1,1,Radial Velocity,2014,6.959,101.7056,5780,1.01,-0.011,872.92
NGC 2682 YBP 1514 b,1,1,Radial Velocity,2014,5.118,127.132,5725,0.96,-0.018,914.221
NGC 2682 YBP 401 b,1,1,Radial Velocity,2016,4.087,146.2018,6165,1.14,0.289,830.822
NGTS-1 b,1,1,Transit,2017,2.647298,258.07796,3916,0.62,-1.153,218.121
NGTS-10 b,1,1,Transit,2020,0.7668944,687.14846,4600,0.7,-0.757,324.6986504
NGTS-11 b,1,1,Transit,2020,35.45533,109.33352,5050,0.86,-0.395,190.422
NGTS-12 b,1,1,Transit,2020,7.532806,66.10864,5690,1.02,0.338,446.442
NGTS-13 b,1,1,Transit,2021,4.119027,1538.2972,5819,1.3,0.517,647.595
NGTS-14 A b,2,1,Transit,2021,3.5357173,29.24036,5187,0.9,-0.311,322.148
NGTS-15 b,1,1,Transit,2021,3.27623,238.68913,5600,0.99,-0.086,786.485
NGTS-16 b,1,1,Transit,2021,4.84532,211.99155,5550,1,0.117,898.168
NGTS-17 b,1,1,Transit,2021,3.24253,242.8209,5650,1.02,0.241,1040.28
NGTS-18 b,1,1,Transit,2021,3.05125,129.99182,5610,1,0.27,1096.19
NGTS-2 b,1,1,Transit,2018,4.511164,235.1942,6478,1.64,0.631,356.391
NGTS-3 A b,2,1,Transit,2018,1.6753728,756.4354,5600,1.02,-0.144,743.972
NGTS-4 b,1,1,Transit,2019,1.3373508,20.6,5143,0.75,-0.353,280.555
NGTS-5 b,1,1,Transit,2019,3.3569866,72.78307,4987,0.66,-0.511,306.779
NGTS-6 b,1,1,Transit,2019,0.882059,425.57437,4730,0.77,-0.592,308.262
NGTS-8 b,1,1,Transit,2019,2.4997,295.5819,5241,0.89,-0.21,428.976
NGTS-9 b,1,1,Transit,2019,4.43527,921.707,6330,1.34,0.389,609.128
NN Ser c,2,2,Eclipse Timing Variations,2010,5573.55,2329.6,57000,0.54,,515.818
NN Ser d,2,2,Eclipse Timing Variations,2010,2883.5,731,57000,0.54,,515.818
NSVS 14256825 b,2,1,Eclipse Timing Variations,2019,3225,4497.2945,40000,0.42,1.974,820.877
NY Vir b,2,2,Eclipse Timing Variations,2011,3160,730.978,32780,0.46,1.375,544.024
NY Vir c,2,2,Eclipse Timing Variations,2019,8799,1760.7782,32780,0.46,1.375,544.024
OGLE-2003-BLG-235L b,1,1,Microlensing,2004,,830,,0.63,,5800
OGLE-2005-BLG-071L b,1,1,Microlensing,2005,,1200,,0.46,,3200
OGLE-2005-BLG-169L b,1,1,Microlensing,2006,,14.1,,0.69,,4100
OGLE-2005-BLG-390L b,1,1,Microlensing,2005,3285,5.5,,0.22,,6600
OGLE-2006-BLG-109L b,1,2,Microlensing,2008,1788.5,231,,0.51,,1510
OGLE-2006-BLG-109L c,1,2,Microlensing,2008,4927.5,86,,0.51,,1510
OGLE-2007-BLG-349L AB c,2,1,Microlensing,2016,2557,80,,0.41,,2760
OGLE-2007-BLG-368L b,1,1,Microlensing,2009,,20,,0.64,,5900
OGLE-2008-BLG-092L b,2,1,Microlensing,2014,,57,,0.71,,8100
OGLE-2008-BLG-355L b,1,1,Microlensing,2014,,1500,,0.37,,6800
OGLE-2011-BLG-0173L b,1,1,Microlensing,2018,,60,,0.41,,6100
OGLE-2011-BLG-0251L b,1,1,Microlensing,2012,,170,,0.26,,2570
OGLE-2011-BLG-0265L b,1,1,Microlensing,2015,,280,,0.21,,4380
OGLE-2012-BLG-0026L b,1,2,Microlensing,2012,,46.1,,1.06,,4019
OGLE-2012-BLG-0026L c,1,2,Microlensing,2012,,270,,1.06,,4019
OGLE-2012-BLG-0358L b,1,1,Microlensing,2013,,588,,0.02,,1760
OGLE-2012-BLG-0406L b,1,1,Microlensing,2013,,868,,0.44,,4970
OGLE-2012-BLG-0563L b,1,1,Microlensing,2015,,120,,0.34,,1300
OGLE-2012-BLG-0724L b,1,1,Microlensing,2016,,150,,0.29,,6700
OGLE-2012-BLG-0838L b,1,1,Microlensing,2020,,53.1,,0.4,,6320
OGLE-2012-BLG-0950L b,1,1,Microlensing,2016,,35,,0.57,,2600
OGLE-2013-BLG-0102L b,1,1,Microlensing,2014,,4100,,0.1,,3040
OGLE-2013-BLG-0132L b,1,1,Microlensing,2017,,92,,0.54,,3900
OGLE-2013-BLG-0341L B b,2,1,Microlensing,2014,,1.66,,0.11,,911
OGLE-2013-BLG-0911L b,1,1,Microlensing,2019,,3020,,0.29,,3220
OGLE-2013-BLG-1721L b,1,1,Microlensing,2017,,200,,0.46,,6300
OGLE-2013-BLG-1761L b,1,1,Microlensing,2018,,860,,0.33,,6900
OGLE-2014-BLG-0124L b,1,1,Microlensing,2015,,160,,0.71,,4100
OGLE-2014-BLG-0676L b,1,1,Microlensing,2016,,982,,0.62,,2220
OGLE-2014-BLG-1722L b,1,2,Microlensing,2018,,55.3,,0.4,,6400
OGLE-2014-BLG-1722L c,1,2,Microlensing,2018,,83.7,,0.4,,6400
OGLE-2014-BLG-1760L b,1,1,Microlensing,2016,,180,,0.51,,6860
OGLE-2015-BLG-0051L b,1,1,Microlensing,2016,,230,,0.1,,8200
OGLE-2015-BLG-0954L b,1,1,Microlensing,2016,,1100,,0.3,,1200
OGLE-2015-BLG-0966L b,1,1,Microlensing,2016,,21,,0.38,,3300
OGLE-2015-BLG-1649L b,1,1,Microlensing,2019,,807,,0.34,,4230
OGLE-2015-BLG-1670L b,1,1,Microlensing,2019,,17.9,,0.55,,6700
OGLE-2015-BLG-1771L b,1,1,Microlensing,2020,,138,,0.08,,7070
OGLE-2016-BLG-0263L b,1,1,Microlensing,2017,,1300,,0.13,,6500
OGLE-2016-BLG-0613L AB b,2,1,Microlensing,2017,,1330,,0.72,,3410
OGLE-2016-BLG-1067L b,1,1,Microlensing,2019,,140,,0.3,,3730
OGLE-2016-BLG-1190L b,1,1,Microlensing,2017,1224,4253,,0.88,,6770
OGLE-2016-BLG-1195L b,1,1,Microlensing,2017,,1.43,,0.08,,3910
OGLE-2016-BLG-1227L b,1,1,Microlensing,2020,,250,,0.1,,
OGLE-2017-BLG-0173L b,1,1,Microlensing,2018,,3.269,,0.4,,4705
OGLE-2017-BLG-0373L b,1,1,Microlensing,2018,,127,,0.25,,5915
OGLE-2017-BLG-0406L b,1,1,Microlensing,2020,,130,,0.56,,5200
OGLE-2017-BLG-0482L b,1,1,Microlensing,2018,,9,,0.2,,5800
OGLE-2017-BLG-0604L b,1,1,Microlensing,2020,,160,,0.7,,3950
OGLE-2017-BLG-1049L b,1,1,Microlensing,2020,,1760,,0.55,,5670
OGLE-2017-BLG-1140L b,1,1,Microlensing,2018,,505,,0.21,,
OGLE-2017-BLG-1375L b,1,1,Microlensing,2020,,3585,,0.81,,3930
OGLE-2017-BLG-1434L b,1,1,Microlensing,2018,,4.5,,0.23,,860
OGLE-2017-BLG-1522L b,1,1,Microlensing,2018,,240,,0.04,,7490
OGLE-2018-BLG-0596L b,1,1,Microlensing,2019,,13.93,,0.23,,5650
OGLE-2018-BLG-0677L b,1,1,Microlensing,2020,,3.96,,0.12,,7580
OGLE-2018-BLG-0740L b,1,1,Microlensing,2019,5480,1500,5912,1,,3200
OGLE-2018-BLG-1011L b,1,2,Microlensing,2019,,570,,0.18,,7100
OGLE-2018-BLG-1011L c,1,2,Microlensing,2019,,890,,0.18,,7100
OGLE-2018-BLG-1269L b,1,1,Microlensing,2020,,210,,1.11,,2510
OGLE-2018-BLG-1428L b,1,1,Microlensing,2021,,240,,0.43,,6220
OGLE-2018-BLG-1700L b,2,1,Microlensing,2020,,1400,,0.42,,7600
OGLE-2019-BLG-0954L b,1,1,Microlensing,2021,,4513.16338,,0.8,,3630
OGLE-TR-10 b,1,1,Transit,2004,3.101278,197.046,5950,1.14,0.188,1344.97
OGLE-TR-111 b,1,1,Transit,2004,4.0144463,174.799,5040,0.82,-0.339,1068.33
OGLE-TR-113 b,1,1,Transit,2004,1.4324752,400.449,4790,0.78,-0.529,566.459
OGLE-TR-132 b,1,1,Transit,2004,1.689868,375.02,6210,1.3,0.371,2012.62
OGLE-TR-182 b,1,1,Transit,2007,3.9791,320.995,5924,1.14,0.241,2501.75
OGLE-TR-211 b,1,1,Transit,2007,3.67724,327.351,6325,1.33,0.267,1515.26
OGLE-TR-56 b,1,1,Transit,2002,1.2119189,441.77,6050,1.17,0.35,282.8391387
OGLE2-TR-L9 b,1,1,Transit,2008,2.4855335,1430.175,6933,1.52,0.512,1627.63
Oph 11 b,1,1,Imaging,2006,7300000,4449.62,2375,0.02,-2.77,136.165592
